,VDD,Temperature,Rotation Speed,Gradient,Wind Speed
0,3.41,22.91,140,10,2.23
1,3.363,22.91,138,10,2.2
2,3.41,22.91,137,10,2.19
3,3.363,22.73,138,0,3.54
4,3.363,22.91,137,10,2.19
5,3.363,22.91,137,15,0.0
6,3.363,22.91,136,15,0.0
7,3.363,22.91,135,15,0.0
8,3.363,22.91,136,15,0.0
9,3.41,21.27,135,0,3.52
10,3.363,22.73,135,5,2.93
11,3.363,22.91,135,15,0.0
12,3.363,22.91,135,25,0.0
13,3.363,22.91,136,15,0.0
14,3.363,22.91,136,0,3.53
15,3.41,22.91,135,10,2.16
16,3.363,22.73,136,20,0.0
17,3.41,22.91,135,0,3.52
18,3.363,22.91,136,10,2.17
19,3.363,22.91,136,15,0.0
20,3.363,22.73,136,15,0.0
21,3.363,22.91,136,15,0.0
22,3.363,22.73,136,10,2.17
23,3.363,22.73,137,15,0.0
24,3.363,22.91,136,15,0.0
25,3.363,22.73,135,10,2.16
26,3.363,22.73,137,0,3.54
27,3.363,22.91,136,5,2.94
28,3.41,22.73,136,10,2.17
29,3.363,22.73,136,15,0.0
30,3.363,22.91,135,10,2.16
31,3.363,22.91,135,15,0.0
32,3.363,22.73,135,15,0.0
33,3.363,22.91,136,10,2.17
34,3.41,22.73,136,5,2.94
35,3.363,24.91,137,15,0.0
36,3.363,22.73,137,10,2.19
37,3.363,22.91,135,5,2.93
38,3.363,22.91,136,15,0.0
39,3.363,22.73,137,0,3.54
40,3.363,21.27,138,10,2.2
41,3.363,22.73,137,10,2.19
42,3.363,22.73,137,25,0.0
43,3.41,22.91,137,0,3.54
44,3.363,22.73,136,15,0.0
45,3.363,22.91,137,0,3.54
46,3.363,22.73,137,5,2.95
47,3.363,24.91,137,5,2.95
48,3.363,22.73,135,10,2.16
49,3.363,22.73,132,-10,4.41
50,3.363,22.73,79,-15,4.4
51,3.05,22.91,86,25,0.0
52,2.917,22.73,109,25,0.0
53,2.917,22.91,117,10,1.88
54,3.007,22.91,119,10,1.91
55,3.05,22.91,121,15,0.0
56,3.183,24.91,122,15,0.0
57,3.32,22.91,121,15,0.0
58,3.363,22.91,122,25,0.0
59,3.363,22.91,125,25,0.0
60,3.363,22.73,131,15,0.0
61,3.363,22.73,133,10,2.13
62,3.363,22.73,135,15,0.0
63,3.363,22.73,134,10,2.14
64,3.363,22.73,136,20,0.0
65,3.41,22.73,136,10,2.17
66,3.41,22.55,138,15,0.0
67,3.41,21.09,138,5,2.96
68,3.363,23.09,138,10,2.2
69,3.41,22.55,137,10,2.19
70,3.363,22.73,137,15,0.0
71,3.363,22.73,136,15,0.0
72,3.363,22.73,137,0,3.54
73,3.363,22.73,137,0,3.54
74,3.363,22.73,137,15,0.0
75,3.363,22.73,137,0,3.54
76,3.363,22.73,137,10,2.19
77,3.41,22.73,137,10,2.19
78,3.41,22.91,137,15,0.0
79,3.363,22.73,138,15,0.0
80,3.363,24.73,139,0,3.55
81,3.363,22.73,139,0,3.55
82,3.41,22.55,137,-5,4.02
83,3.363,22.73,139,0,3.55
84,3.363,22.73,140,15,0.0
85,3.363,22.73,139,15,0.0
86,3.363,22.73,141,0,3.57
87,3.41,22.73,138,0,3.54
88,3.363,22.55,138,5,2.96
89,3.41,22.73,136,10,2.17
90,3.363,22.73,138,0,3.54
91,3.41,22.55,137,10,2.19
92,3.363,22.73,137,0,3.54
93,3.41,22.55,137,15,0.0
94,3.363,22.73,137,10,2.19
95,3.363,22.73,137,5,2.95
96,3.363,22.73,137,10,2.19
97,3.41,22.55,137,0,3.54
98,3.41,22.73,137,10,2.19
99,3.363,22.73,138,5,2.96
100,3.41,22.55,138,10,2.2
101,3.363,22.73,139,10,2.22
102,3.41,22.73,138,5,2.96
103,3.363,22.55,139,0,3.55
104,3.41,22.73,138,10,2.2
105,3.363,22.55,138,10,2.2
106,3.363,21.09,138,5,2.96
107,3.363,22.73,138,10,2.2
108,3.41,22.55,138,10,2.2
109,3.363,22.73,138,5,2.96
110,3.363,22.73,139,10,2.22
